remitente,asunto,mensaje,enlaces,etiqueta
compras@proveedor.mx,¿A qué hora nos vemos para almorzar?,¿A qué hora nos vemos para almorzar?,,ham
compras@universidad.mx,No olvides traer tu cuaderno.,No olvides traer tu cuaderno.,,ham
sistemas@organizacion.org,Nos vemos mañana a las 10:00 para,Nos vemos mañana a las 10:00 para la reunión.,,ham
contabilidad@banco.mx,¿Cómo estás? Hace tiempo que no nos,¿Cómo estás? Hace tiempo que no nos vemos.,,ham
sistemas@empresa.com,¿Te interesa ir al cine este fin,¿Te interesa ir al cine este fin de semana?,,ham
compras@proveedor.mx,Este es tu último recordatorio para pagar,Este es tu último recordatorio para pagar la factura.,,ham
recursos.humanos@hospital.mx,No olvides llevar la documentación para la,No olvides llevar la documentación para la cita.,,ham
maria.garcia@hospital.mx,Recuerda que tienes una cita con el,Recuerda que tienes una cita con el dentista mañana.,,ham
ventas@empresa.com,Nos vemos en la reunión el jueves.,Nos vemos en la reunión el jueves.,,ham
maria.garcia@organizacion.org,Te esperamos en el restaurante a las,Te esperamos en el restaurante a las 8:00 PM.,,ham
ventas@universidad.mx,¡Felicidades por tu nuevo empleo!,¡Felicidades por tu nuevo empleo!,,ham
compras@empresa.com,No olvides recoger tus boletos para el,No olvides recoger tus boletos para el concierto.,,ham
juan.perez@hospital.mx,Recuerda que tienes una cita médica la,Recuerda que tienes una cita médica la próxima semana.,,ham
compras@organizacion.org,Aquí tienes el enlace para tu pago.,Aquí tienes el enlace para tu pago.,,ham
juan.perez@hospital.mx,Recuerda que la entrega de tus documentos,Recuerda que la entrega de tus documentos es el lunes.,,ham
soporte@cliente.com,¿Te gustaría ir a la playa este,¿Te gustaría ir a la playa este fin de semana?,,ham
contabilidad@hospital.mx,Nos vemos el viernes para estudiar juntos.,Nos vemos el viernes para estudiar juntos.,,ham
ventas@proveedor.mx,¡Qué bien vernos después de tanto tiempo!,¡Qué bien vernos después de tanto tiempo!,,ham
contabilidad@proveedor.mx,¿Cómo te va en el trabajo?,¿Cómo te va en el trabajo?,,ham
maria.garcia@proveedor.mx,Quiero agradecerte por tu ayuda en el,Quiero agradecerte por tu ayuda en el proyecto.,,ham
juan.perez@organizacion.org,Nos vemos el sábado para la fiesta.,Nos vemos el sábado para la fiesta.,,ham
recursos.humanos@banco.mx,Este es tu último aviso para pagar,Este es tu último aviso para pagar la factura pendiente.,,ham
maria.garcia@universidad.mx,Tu pedido será entregado en dos días.,Tu pedido será entregado en dos días.,,ham
maria.garcia@banco.mx,Recuerda que tienes un examen la próxima,Recuerda que tienes un examen la próxima semana.,,ham
recursos.humanos@cliente.com,¿Te gustaría acompañarnos al cine el sábado?,¿Te gustaría acompañarnos al cine el sábado?,,ham
soporte@proveedor.mx,Tu reserva ha sido confirmada.,Tu reserva ha sido confirmada.,,ham
contabilidad@empresa.com,Te invitamos a nuestro evento de este,Te invitamos a nuestro evento de este mes.,,ham
soporte@empresa.com,Tu suscripción será renovada automáticamente.,Tu suscripción será renovada automáticamente.,,ham
maria.garcia@organizacion.org,Recuerda que la tienda cierra a las,Recuerda que la tienda cierra a las 7:00 PM.,,ham
ventas@proveedor.mx,No olvides que la reunión es el,No olvides que la reunión es el miércoles a las 10:00 AM.,,ham
maria.garcia@empresa.com,¡Te tenemos una sorpresa! Ven a vernos,¡Te tenemos una sorpresa! Ven a vernos pronto.,,ham
sistemas@universidad.mx,Gracias por ser parte de nuestro programa.,Gracias por ser parte de nuestro programa.,,ham
juan.perez@organizacion.org,¡Te esperamos en la conferencia!,¡Te esperamos en la conferencia!,,ham
ventas@banco.mx,No olvides comprar los boletos para el,No olvides comprar los boletos para el concierto.,,ham
compras@banco.mx,"Tu cuenta está activa, ¡disfruta de tus","Tu cuenta está activa, ¡disfruta de tus beneficios!",,ham
compras@universidad.mx,Recuerda que los productos estarán en oferta,Recuerda que los productos estarán en oferta hasta el domingo.,,ham
juan.perez@hospital.mx,Nos gustaría contar con tu presencia en,Nos gustaría contar con tu presencia en la reunión.,,ham
juan.perez@proveedor.mx,"Por favor, confirma tu asistencia a la","Por favor, confirma tu asistencia a la conferencia.",,ham
recursos.humanos@universidad.mx,Tu pedido ha sido procesado exitosamente.,Tu pedido ha sido procesado exitosamente.,,ham
ventas@banco.mx,¡Nos vemos en la reunión de mañana!,¡Nos vemos en la reunión de mañana!,,ham
juan.perez@hospital.mx,Tu envío llegará en las próximas 24,Tu envío llegará en las próximas 24 horas.,,ham
recursos.humanos@organizacion.org,Recuerda que tienes una cita en el,Recuerda que tienes una cita en el dentista el lunes.,,ham
recursos.humanos@hospital.mx,Este es tu recordatorio para tu cita,Este es tu recordatorio para tu cita de trabajo.,,ham
sistemas@empresa.com,¿Cómo te va con el proyecto que,¿Cómo te va con el proyecto que estamos trabajando?,,ham
sistemas@banco.mx,Te esperamos en la próxima reunión de,Te esperamos en la próxima reunión de equipo.,,ham
sistemas@proveedor.mx,Tu paquete ha sido enviado.,Tu paquete ha sido enviado.,,ham
maria.garcia@universidad.mx,Recuerda que debes hacer el pago antes,Recuerda que debes hacer el pago antes del 15 de mayo.,,ham
juan.perez@proveedor.mx,Gracias por registrarte en el evento.,Gracias por registrarte en el evento.,,ham
ventas@organizacion.org,¿Cómo te va con tu nueva rutina,¿Cómo te va con tu nueva rutina de ejercicio?,,ham
ventas@cliente.com,La reunión se llevará a cabo el,La reunión se llevará a cabo el martes a las 9:00 AM.,,ham
sistemas@proveedor.mx,Tienes un mensaje importante de tu banco.,Tienes un mensaje importante de tu banco.,,ham
maria.garcia@empresa.com,¡Te invitamos a nuestra fiesta de fin,¡Te invitamos a nuestra fiesta de fin de año!,,ham
contabilidad@banco.mx,Tu cuenta ha sido actualizada correctamente.,Tu cuenta ha sido actualizada correctamente.,,ham
contabilidad@empresa.com,Tu entrada para el evento ha sido,Tu entrada para el evento ha sido confirmada.,,ham
maria.garcia@banco.mx,Gracias por asistir a nuestro taller.,Gracias por asistir a nuestro taller.,,ham
contabilidad@universidad.mx,Nos gustaría saber tu opinión sobre el,Nos gustaría saber tu opinión sobre el servicio.,,ham
recursos.humanos@organizacion.org,Recuerda que debes entregar tu informe antes,Recuerda que debes entregar tu informe antes del viernes.,,ham
compras@empresa.com,Aquí tienes la información sobre el evento,Aquí tienes la información sobre el evento que mencionaste.,,ham
soporte@cliente.com,Tu código de descuento es válido hasta,Tu código de descuento es válido hasta el domingo.,,ham
compras@universidad.mx,Tu paquete llegará mañana a las 5:00,Tu paquete llegará mañana a las 5:00 PM.,,ham
soporte@proveedor.mx,¡Estamos muy felices de que te unas,¡Estamos muy felices de que te unas a nuestro programa!,,ham
sistemas@cliente.com,Nos gustaría saber cómo fue tu experiencia,Nos gustaría saber cómo fue tu experiencia con nosotros.,,ham
maria.garcia@cliente.com,Recuerda que tienes una reunión con el,Recuerda que tienes una reunión con el equipo de ventas el martes.,,ham
juan.perez@universidad.mx,Tu cuenta ha sido verificada correctamente.,Tu cuenta ha sido verificada correctamente.,,ham
soporte@cliente.com,"Gracias por tu compra, ¡disfruta de tus","Gracias por tu compra, ¡disfruta de tus productos!",,ham
compras@banco.mx,Recuerda que tienes un examen el viernes.,Recuerda que tienes un examen el viernes.,,ham
ventas@proveedor.mx,No olvides traer todos los documentos necesarios,No olvides traer todos los documentos necesarios para tu cita.,,ham
sistemas@proveedor.mx,Recuerda revisar tus correos para obtener más,Recuerda revisar tus correos para obtener más información.,,ham
ventas@cliente.com,¡Nos encantaría verte en nuestro próximo evento!,¡Nos encantaría verte en nuestro próximo evento!,,ham
maria.garcia@proveedor.mx,Gracias por tu tiempo en nuestra conferencia.,Gracias por tu tiempo en nuestra conferencia.,,ham
recursos.humanos@cliente.com,Nos alegra saber que te gustó el,Nos alegra saber que te gustó el producto.,,ham
contabilidad@organizacion.org,Recuerda que el pago de tu suscripción,Recuerda que el pago de tu suscripción es automático.,,ham
maria.garcia@empresa.com,Nos vemos en el evento de este,Nos vemos en el evento de este sábado.,,ham
soporte@hospital.mx,Tu inscripción en el taller ha sido,Tu inscripción en el taller ha sido confirmada.,,ham
compras@proveedor.mx,Recuerda que tu pedido será entregado en,Recuerda que tu pedido será entregado en 48 horas.,,ham
soporte@banco.mx,Tu cuenta de correo ha sido suspendida.,Tu cuenta de correo ha sido suspendida.,,ham
sistemas@proveedor.mx,Recuerda que la tienda cierra a las,Recuerda que la tienda cierra a las 8:00 PM.,,ham
contabilidad@cliente.com,Gracias por ser parte de nuestro proyecto.,Gracias por ser parte de nuestro proyecto.,,ham
facturacion@criptoganancias.cc,¡Felicidades! Has ganado un premio de $5000. (urgente),¡Felicidades! Has ganado un premio de $5000.,https://loteria-gratis.win/reclamar-premio,spam
rrhh@loteria-gratis.win,¡Haz clic aquí para reclamar tu premio (urgente),¡Haz clic aquí para reclamar tu premio ahora mismo!,https://loteria-gratis.win/reclamar-premio,spam
it@netflix-pagos.support,¡Gana un iPhone nuevo solo por registrarte! (urgente),¡Gana un iPhone nuevo solo por registrarte!,https://loteria-gratis.win/reclamar-premio,spam
noreply@bono-gob.mx.co,"Última oportunidad para ganar un auto nuevo, (urgente)","Última oportunidad para ganar un auto nuevo, solo responde a este mensaje.",https://loteria-gratis.win/reclamar-premio,spam
